time,open,high,low,close,volume
2017-07-01,1.2,1.6479,0.5,1.135,1042731.0249194094
2017-07-02,1.1235,3.2981,0.9406,2.9103,2673924.4145181943
2017-07-03,2.9248,5.48,2.41,4.017,3301308.6552769616
2017-07-04,4.0201,4.1998,2.5501,3.12,3790603.0856870716
2017-07-05,3.1319,3.3121,2.6,2.8322,1955027.6399860438
2017-07-06,2.822,3.5303,2.822,3.2499,2301252.658884676
2017-07-07,3.24,3.3214,2.6,2.6598,2022336.0670146032
2017-07-08,2.6488,2.7596,2.01,2.3957,2992736.336700195
2017-07-09,2.3965,2.549,2.1201,2.2061,1860759.2029085278
2017-07-10,2.2064,2.275,1.234,1.6016,3559383.1224211617
2017-07-11,1.6016,1.78,1.3561,1.5,4895651.092208272
2017-07-12,1.5,2.0499,1.398,1.985,2896888.5371455955
2017-07-13,1.978,1.988,1.6048,1.6442,1587112.45653776
2017-07-14,1.649,1.7,1.4514,1.5189,1773910.62992937
2017-07-15,1.519,1.5274,1.285,1.3,2508629.92142553
2017-07-16,1.2947,1.3294,1.1336,1.244,2362941.26066764
2017-07-17,1.2323,1.5789,1.217,1.5551,2925338.2545731
2017-07-18,1.5706,1.73,1.4569,1.653,2467349.55750494
2017-07-19,1.6527,1.7745,1.4501,1.4936,2215153.4198475
2017-07-20,1.4851,1.7499,1.4851,1.7164,1617513.24821844
2017-07-21,1.7164,1.9967,1.6694,1.7988,1962041.20437749
2017-07-22,1.7964,2.0983,1.7699,2.0302,1694490.19154395
2017-07-23,2.034,2.138,1.8003,1.9294,2129598.60358023
2017-07-24,1.9294,1.99,1.8011,1.8789,1379063.4309895
2017-07-25,1.87,1.8997,1.5454,1.6511,1867964.65531477
2017-07-26,1.6689,1.7145,1.4846,1.6951,1807692.25421332
2017-07-27,1.6988,1.9794,1.694,1.9156,1678546.35216443
2017-07-28,1.9141,1.9899,1.8014,1.8107,1562469.38193421
2017-07-29,1.8113,1.8657,1.601,1.8336,1733121.19758083
2017-07-30,1.85,1.8507,1.6746,1.7751,866122.59723897
2017-07-31,1.7751,1.7774,1.63,1.7013,1222111.96120271
2017-08-01,1.7181,1.8135,1.645,1.778,1807060.02431081
2017-08-02,1.777,1.8018,1.673,1.7388,1218682.11888309
2017-08-03,1.7499,1.7846,1.7001,1.7799,734114.74798696
2017-08-04,1.7799,1.84,1.7417,1.7622,1146294.56538058
2017-08-05,1.7623,2.0,1.7294,1.853,2238344.09746945
2017-08-06,1.8485,1.853,1.7002,1.7538,1579359.44954551
2017-08-07,1.7505,1.81,1.7,1.7843,1782430.70943917
2017-08-08,1.7843,1.9839,1.7809,1.8722,2753878.18975929
2017-08-09,1.8722,1.91,1.788,1.8124,1477098.21720588
2017-08-10,1.8184,1.9142,1.8045,1.8362,1566595.17983165
2017-08-11,1.8361,1.8784,1.6642,1.757,2223906.89461386
2017-08-12,1.757,1.83,1.6101,1.6454,1680369.09777547
2017-08-13,1.6516,1.686,1.5153,1.5967,2376551.71832403
2017-08-14,1.5997,1.6779,1.5051,1.6,1670392.08999723
2017-08-15,1.5999,1.7271,1.521,1.6183,2191005.1044636
2017-08-16,1.6273,1.6499,1.55,1.6019,1714225.97276168
2017-08-17,1.6018,1.6201,1.48,1.5059,1789622.15875983
2017-08-18,1.523,1.5329,1.3304,1.3979,1984120.27195321
2017-08-19,1.394,1.4315,1.28,1.39,1564138.47656368
2017-08-20,1.3987,1.42,1.323,1.3593,1267648.60944773
2017-08-21,1.3594,1.41,1.3042,1.329,1917934.24446718
2017-08-22,1.329,1.3313,1.2351,1.27,2388908.37999063
2017-08-23,1.2686,1.545,1.2565,1.416,5193707.19894507
2017-08-24,1.4175,1.4218,1.3248,1.371,1933560.23483085
2017-08-25,1.3789,1.4478,1.3331,1.3676,1797853.51271489
2017-08-26,1.364,1.394,1.3304,1.365,1348781.45239429
2017-08-27,1.364,1.38,1.315,1.3435,1339178.42053662
2017-08-28,1.3479,1.364,1.2738,1.3241,1532273.78211191
2017-08-29,1.3241,1.3777,1.3096,1.31,1585606.47309628
2017-08-30,1.31,1.344,1.222,1.251,2300769.41785824
2017-08-31,1.2518,1.357,1.2458,1.3441,3137822.67676552
2017-09-01,1.3402,1.35,1.2727,1.3203,2639794.2453701
2017-09-02,1.3246,1.4361,1.1856,1.235,3515022.48283176
2017-09-03,1.235,1.3255,1.21,1.3006,2649183.35862334
