time,open,high,low,close,volume
2016-10-29,20000.0,20000.0,1411.0,3591.3,0.20518782
2016-10-30,2798.0,2799.9,518.2,558.0,2.88196192
2016-10-31,585.89,2616.5,470.41,1658.7,22.749710970000017
2016-11-01,1650.0,2498.0,853.0,1350.0,15.111090760000012
2016-11-02,1291.0,1700.0,928.3,943.1,23.24580118
2016-11-03,1017.0,1219.0,914.57,993.4,11.857674620000022
2016-11-04,866.66,886.21,620.0,620.0,4.699821470000003
2016-11-05,608.0,650.0,500.1,502.5,15.817793680000001
2016-11-06,502.0,502.01,327.0,333.0,24.558091360000002
2016-11-07,333.0,395.09,241.11,241.11,10.55213198
2016-11-08,241.11,298.66,170.1,281.0,13.454640889999974
2016-11-09,310.0,349.9,226.1,349.9,22.93475808000001
2016-11-10,252.3,259.9,221.1,221.6,9.082551699999994
2016-11-11,221.21,232.67,190.1,191.11,12.074288349999998
2016-11-12,191.11,191.11,147.0,147.0,14.657702499999992
2016-11-13,142.0,164.89,117.1,117.1,31.91095295999999
2016-11-14,117.1,144.0,100.01,106.5,46.36284183000002
2016-11-15,101.11,132.59,100.0,108.12,27.539375550000006
2016-11-16,109.0,128.75,95.457,95.457,27.167830910000017
2016-11-17,100.01,104.76,85.34,85.34,20.362922990000012
2016-11-18,85.34,85.34,67.4,68.71,13.795645589999998
2016-11-19,70.0,74.5,63.111,63.6,30.841819830000006
2016-11-20,63.8,65.5,60.445,60.445,12.135716589999998
2016-11-21,60.445,60.79,53.291,53.303,15.037075450000001
2016-11-22,53.291,72.89,50.2,56.501,81.00677536000008
2016-11-23,58.219,91.577,56.527,77.402,89.08082320000005
2016-11-24,79.5,107.0,68.301,95.0,394.69010374999965
2016-11-25,99.21,107.7,83.523,90.0,159.09484954000013
2016-11-26,90.0,100.0,75.111,77.862,89.23451223999997
2016-11-27,76.204,81.423,65.996,69.0,160.80449899999996
2016-11-28,69.0,76.29,65.111,72.133,57.99379971000002
2016-11-29,70.889,78.055,67.111,67.386,154.40206247000023
2016-11-30,67.386,72.275,65.377,67.003,82.28857490999997
2016-12-01,67.101,68.2,60.311,62.057,157.16850239999997
2016-12-02,62.16,65.0,58.922,59.06,601.4088025700007
2016-12-03,58.207,60.2,57.836,58.868,198.1551551199998
2016-12-04,58.868,61.899,56.95,57.342,645.1413316999991
2016-12-05,57.394,59.098,53.756,53.756,948.1947724000005
2016-12-06,53.756,59.889,46.201,47.785,870.9231085599974
