hold,assets,trades,edge_med,edge_pos,abs_ret_med
1,16,753,0.0014944504294270226,0.8125,0.016040243624272817
2,16,753,0.001821892681580934,0.875,0.02231502316920976
3,16,753,0.002449643997525699,0.75,0.024306799703028507
5,16,753,0.002343899569951329,0.8125,0.02940085009411429
10,16,753,0.00430418176575181,0.6875,0.0412977385887486
20,16,753,0.005731828610429238,0.625,0.053311234446973804
