desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx,OOS_reason
opnpos[t-1]>=0.3 & gap[t-3]<=-0.2 & chg[t-2]<=0.0 & close<prev_low,open,15,True,3.5638854179768744,0.00011084962187899868,478,31.0,0.003754337287537753,1.0,1.7050265819754515,0.6129032258064516,0.2,1.800053443936106,0.03592609990865707,,1.0,1.0,16,True,6.015329905041124,0.002532507218997322,639.0,36.0,0.002690843667627957,0.6875,1.66436522607941,0.5547785547785548,0.25,1.7185913704047568,0.04284440205625915,0.0,0.8888888888888888,0.5,
opnpos[t-1]>=0.3 & opnpos[t-2]>=0.5 & gap[t-3]<=-0.2 & close<prev_low,open,15,True,4.130431168904875,0.000365120112462986,502,33.0,0.004598171945227275,1.0,1.8552468209892952,0.6363636363636364,0.06666666666666667,1.7725862695391548,0.03814864428139742,,1.0,1.0,16,True,8.07329046655672,0.00891186224787503,663.0,37.5,0.002624107906248049,0.6875,1.3244779927712131,0.5058139534883721,0.25,1.6829762922483047,0.04618984049640254,0.0,0.8888888888888888,0.5,
upper[t-1]<=0.2 & lower[t-1]>=0.2 & gap[t-3]<=-0.2 & close<prev_low,open,15,True,4.66022818810668,0.0014729837413908799,346,16.0,0.0057302146967602545,1.0,1.8169739847431632,0.5833333333333334,0.13333333333333333,1.6572944406359902,0.0487299803673469,,1.0,1.0,15,True,11.87244645578165,0.03517179187621189,399.0,23.0,0.0023533281450097143,0.7333333333333333,1.6426232462060921,0.5106382978723404,0.06666666666666667,1.6100120111014338,0.053697617091831136,,0.8888888888888888,0.5,
clspos[t-1]>=0.5 & opnpos[t-1]>=0.3 & gap[t-3]<=-0.2 & close<prev_low,open,15,True,5.3777822468781755,1.598113080638155e-05,304,16.0,0.012240492427763486,1.0,2.575198912802505,0.6428571428571429,0.13333333333333333,2.490270281564028,0.006382299133186145,,1.0,1.0,15,True,8.357417444807627,0.02777789839827782,341.0,22.0,0.002779797002997752,0.6666666666666666,1.442256807641487,0.5416666666666666,0.13333333333333333,1.4290475558424367,0.07649528270786714,,0.7777777777777778,0.5,
upper[t-1]<=0.5 & gap[t-3]<=-0.2 & chg[t-2]<=0.0 & close<prev_low,open,15,True,3.37584183185599,0.001199133737120198,550,33.0,0.004755557571651908,1.0,1.9078536372684245,0.5789473684210527,0.06666666666666667,1.4402287107228395,0.07490135145081663,,1.0,1.0,16,True,4.758953360693377,0.006271949266880395,664.0,38.5,0.005649142127926667,0.75,1.8853336942846182,0.5713714514194321,0.125,1.3615097415963326,0.08667632856085816,0.0,0.8888888888888888,0.6666666666666666,
upper[t-3]<=0.5 & gap[t-3]<=-0.2 & chg[t-2]<=0.0 & close<prev_low,open,15,True,3.3000042837986,0.0017587722979975479,595,36.0,0.004158366589839848,1.0,1.606649252211494,0.5555555555555556,0.06666666666666667,1.3688843494892096,0.0855177143197361,,1.0,1.0,16,True,5.47621922267501,0.025955515892955472,725.0,41.5,0.0020692948884351845,0.625,1.5376873563596694,0.5602272727272727,0.1875,1.13722872303599,0.1277213412484985,0.0,0.8888888888888888,0.3333333333333333,
lower[t-1]>=0.2 & rngrank[t-2]>=0.3 & gap[t-3]<=-0.2 & close<prev_low,open,15,True,3.622954611373464,0.0009064586132525818,551,29.0,0.0036469967236985746,1.0,1.7482201928518861,0.5740740740740741,0.2,1.5329945123507656,0.06263860351135557,,1.0,1.0,15,True,3.969742207342461,0.016487283482508535,619.0,41.0,0.002070065026684077,0.7333333333333333,1.41779748621991,0.5681818181818182,0.0,1.096990167414032,0.13632284518279864,,0.8888888888888888,0.5,
body[t-1]<=0.7 & gap[t-2]<=0.0 & gap[t-3]<=-0.2 & close<prev_low,open,16,True,3.9079672994502204,1.5700597554655756e-05,528,31.0,0.0062436766463226535,0.9375,1.9555528476830673,0.5540697674418604,0.1875,2.0574441403152095,0.019821761461659707,0.0,1.0,1.0,15,True,6.372678743335271,0.046513797661338376,652.0,36.0,0.002383445195474701,0.6666666666666666,1.3218276380296012,0.5172413793103449,0.13333333333333333,1.0947912208149695,0.1368040567425795,,0.6666666666666666,0.6666666666666666,
clspos[t-3]>=0.3 & opnpos[t-1]>=0.3 & gap[t-3]<=-0.2 & close<prev_low,strict,16,True,4.3371856697442706,3.55953754700724e-05,721,40.0,0.0055316341586297045,0.9375,1.7281531194604318,0.5615615615615616,0.25,2.0681538997335216,0.019312776829047397,1.0,0.8888888888888888,1.0,16,True,6.539459639484126,0.07855338818193668,969.0,54.5,0.002448967316378019,0.625,1.3883365017300604,0.5305944055944056,0.0,0.9045390284241932,0.18285482455593766,0.0,0.8888888888888888,0.3333333333333333,
body[t-3]<=0.7 & rngrank[t-3]<=0.5 & gap[t-3]<=-0.2 & close<prev_low,strict,16,True,7.79277343196316,0.0004643250146497056,563,29.0,0.0054632624274613744,0.9375,1.5964660524613181,0.5684523809523809,0.125,2.310915183369676,0.010418770115383898,1.0,0.8888888888888888,1.0,15,True,3.624817286757532,0.042148114112235915,753.0,42.0,0.0043778856075548074,0.6,1.449417215402644,0.5652173913043478,0.06666666666666667,0.8486132759075262,0.19804825861780195,,0.7777777777777778,0.3333333333333333,
