desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx,OOS_reason
clspos[t-1]>=0.5 & rngrank[t-1]>=0.5 & gap[t-2]<=-0.2 & close>prev_high,open,15,True,3.8811179775431572,0.00042732070099596263,568,35.0,0.004988542340407128,1.0,1.6582537854251287,0.5714285714285714,0.0,1.6961284950572917,0.04493077415585518,,1.0,1.0,15,True,4.687834078632562,0.057182088540206844,675.0,45.0,0.0006924013820464906,0.6,1.2587037163281292,0.5405405405405406,0.13333333333333333,0.882650759158146,0.18871249723363825,,0.6666666666666666,0.5,
upper[t-3]<=0.2 & lower[t-2]>=0.5 & clspos[t-3]<=0.7 & close>high3,strict,18,True,8.50686852389702,1.5728355166478966e-06,202,11.5,0.01898713567578357,0.9444444444444444,1.826528465916807,0.5857142857142856,0.2777777777777778,3.204309014731394,0.0006769354006815575,1.0,1.0,0.5,17,True,17.0,0.1898840338627203,189.0,11.0,-0.001293958089109428,0.4117647058823529,1.1524221434012099,0.5,0.058823529411764705,0.8783237185642508,0.1898840338627203,0.5714285714285714,0.3333333333333333,0.25,
body[t-1]<=0.3 & clspos[t-3]>=0.3 & gap[t-2]<=-0.2 & close>prev_close,strict,16,True,3.3483044249275244,0.0004472901079299258,692,45.5,0.0048900728373504525,1.0,1.5684411472722917,0.5446947674418605,0.0625,1.519560895530983,0.0643106861394749,1.0,1.0,1.0,16,True,6.8756868124638775,0.10793117501709859,739.0,47.5,0.0010105809962523125,0.5625,1.2275112923881952,0.5351255886970172,0.0625,0.8112978131350975,0.20859733280685838,1.0,0.4444444444444444,0.6666666666666666,
opnpos[t-1]<=0.5 & gap[t-1]<=-0.2 & gap[t-3]>=0.0 & close>prev_close,strict,16,True,6.987677988902423,0.0023318102254325755,803,54.0,0.003536353793256851,1.0,1.5678059675100746,0.5587044534412955,0.0625,1.8698205229250904,0.030754372708499237,1.0,1.0,1.0,17,True,6.683578618121013,0.14444659212183064,884.0,58.0,0.0020613721232745114,0.5882352941176471,1.428108904571946,0.5862068965517241,0.11764705882352941,0.6649857872148408,0.25302979184609814,0.0,0.8888888888888888,0.3333333333333333,
opnpos[t-1]<=0.3 & gap[t-1]<=-0.2 & gap[t-3]>=0.2 & close>prev_close,open,15,True,5.651569562859845,0.009420627326880211,393,26.0,0.004214725305766923,1.0,1.6275253910358636,0.55,0.0,1.441645578003985,0.07470119181980178,,1.0,1.0,15,True,6.488207153307014,0.17776480120310795,381.0,26.0,0.005318951078175207,0.6666666666666666,1.7620840154386248,0.6046511627906976,0.13333333333333333,0.6076445655768816,0.2717116182573411,,0.8888888888888888,0.3333333333333333,
body[t-1]<=0.5 & gap[t-2]<=-0.2 & chg[t-1]>=0.0 & close>prev_high,open,15,True,3.0841896387124197,0.0008983591882119176,554,33.0,0.0033920078484215724,1.0,1.5863681356990043,0.5769230769230769,0.13333333333333333,1.4156228709668595,0.07844297569069972,,1.0,1.0,15,True,7.126710009756129,0.1999327963538411,634.0,41.0,0.0010253416874884715,0.6,1.3276920706384994,0.5434782608695652,0.06666666666666667,0.5802824842568132,0.2808620686763215,,0.4444444444444444,0.8333333333333334,
lower[t-2]>=0.5 & clspos[t-1]>=0.85 & rngrank[t-1]>=0.5 & close>high3,strict,17,True,17.0,0.04318337145391815,185,10.0,0.002943658548136807,0.9411764705882353,1.1948064483675616,0.5833333333333334,0.058823529411764705,1.714882657255098,0.04318337145391815,0.875,1.0,1.0,17,True,17.0,0.28585381125277853,218.0,11.0,0.0008333096815900283,0.5294117647058824,1.2869094363792604,0.4375,0.0,0.5655383863032367,0.28585381125277853,0.375,0.6666666666666666,0.6666666666666666,
body[t-1]<=0.3 & rngrank[t-1]<=0.8 & gap[t-2]<=-0.2 & close>prev_close,open,16,True,4.112520901810721,7.007533249306228e-05,810,52.0,0.005921049180018187,0.9375,1.629511399731065,0.571813725490196,0.0625,1.9305446736352005,0.026769692756285383,1.0,0.8888888888888888,1.0,15,True,7.040438176305893,0.2076930415636662,900.0,58.0,0.0013719100514431254,0.5333333333333333,1.2483235264888428,0.5362318840579711,0.06666666666666667,0.5579813550174298,0.28842855802410927,,0.4444444444444444,0.6666666666666666,
opnpos[t-1]<=0.7 & gap[t-1]<=-0.2 & gap[t-3]>=0.2 & close>prev_high,open,15,True,5.6301521238296806,0.00015844622275139027,531,36.0,0.00321101415909856,1.0,1.7122767816275235,0.5588235294117647,0.2,2.206214619279259,0.013684488074406195,,1.0,1.0,15,True,4.797742480044908,0.21292356153359798,574.0,38.0,-0.00047736945215438604,0.4666666666666667,1.330168949106754,0.574468085106383,0.13333333333333333,0.45035964316362254,0.32622556972493333,,0.6666666666666666,0.16666666666666666,
gap[t-1]<=-0.2 & gap[t-3]>=-0.2 & bull[t-2]>=0.5 & close>prev_close,strict,16,True,5.582603914411209,7.571121186749242e-05,957,60.0,0.003533884895629969,1.0,1.4192320556129334,0.5360248447204969,0.25,2.237955768409416,0.01261196984756088,1.0,1.0,1.0,19,True,6.418526273847722,0.2243584056821758,1184.0,72.0,0.0009542328596056655,0.5263157894736842,1.4014533611040279,0.5652173913043478,0.05263157894736842,0.4403070311213911,0.3298573744932697,0.25,0.6666666666666666,0.5,
