desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx,OOS_reason
clspos[t-2]<=0.7 & rngrank[t-2]>=0.5 & gap[t-3]>=0.2,strict,16,True,5.275520858067274,0.001108358647857564,2172,143.5,0.002708614696976077,1.0,1.436535446328261,0.5586948249619482,0.0625,1.7568304994594313,0.03947335239806062,1.0,1.0,1.0,19,True,7.473846252951862,0.00528482662471805,2228.0,136.0,0.0020159077199470394,0.7894736842105263,1.2609489641476357,0.5534591194968553,0.15789473684210525,1.6034683260817273,0.05441564831067888,0.75,0.7777777777777778,0.8333333333333334,
lower[t-3]>=0.35 & clspos[t-3]<=0.7 & rngrank[t-3]>=0.5 & close>high3,strict,29,True,8.77737646374122,0.0003108005907769073,618,21.0,0.006153187213904411,0.896551724137931,1.4085282043900105,0.4838709677419355,0.06896551724137931,1.8826283219590882,0.02987537770406231,0.8,1.0,1.0,30,True,30.0,0.085723165896392,708.0,23.5,0.002583219194621903,0.5666666666666667,1.193096016296247,0.45112781954887216,0.1,1.367571214771645,0.085723165896392,0.6,0.6666666666666666,0.3333333333333333,
opnpos[t-2]<=0.3 & gap[t-1]<=-0.2 & chg[t-3]<=0.0 & close>prev_high,open,15,True,6.636605271001705,0.005422984076446541,279,16.0,0.005570536331942895,0.9333333333333333,1.8284067686681855,0.6153846153846154,0.06666666666666667,1.69458160028853,0.045077409977668445,,0.8888888888888888,1.0,15,True,6.187558835767785,0.03072036471414767,340.0,21.0,0.0021160313298670018,0.7333333333333333,1.345005964234047,0.56,0.06666666666666667,1.2012343001379389,0.1148301638255469,,0.6666666666666666,0.8333333333333334,
body[t-1]<=0.7 & rngrank[t-1]>=0.5 & gap[t-2]>=0.2,strict,16,True,4.07803921104354,0.02785975302167392,2390,152.0,0.001358683141541152,0.9375,1.30387328159511,0.558355752492483,0.0625,0.9658980915498853,0.16704758870966735,1.0,0.8888888888888888,1.0,18,True,4.501164181799425,0.015917809430749313,2446.0,151.5,0.0028000779572092843,0.7222222222222222,1.3850998650021236,0.526586423169157,0.05555555555555555,1.073373070505786,0.1415518810591832,1.0,0.8888888888888888,0.3333333333333333,
lower[t-2]<=0.35 & opnpos[t-3]>=0.7 & gap[t-1]<=-0.2 & close>prev_high,open,15,True,8.011383700226185,0.03578839341932946,398,23.0,0.0033641814638235776,0.9333333333333333,1.713526649500148,0.5714285714285714,0.0,1.3167849631515491,0.09395535727456805,,0.8888888888888888,1.0,15,True,14.389604195238801,0.13686759824823008,446.0,26.0,0.0010712899452544834,0.7333333333333333,1.1956954070615837,0.5185185185185185,0.0,1.072000675893536,0.1418598642788354,,0.7777777777777778,0.6666666666666666,
clspos[t-2]<=0.5 & rngrank[t-2]>=0.5 & gap[t-3]>=0.2 & close>prev_close,strict,16,True,3.703732775553036,0.006641911802258892,842,54.5,0.004284859634272978,0.9375,1.3501430182577439,0.5754985754985755,0.0,1.1913034978562056,0.11676723061993904,1.0,0.8888888888888888,1.0,15,True,6.385934894443782,0.06212799338020528,918.0,64.0,0.0009131623508824983,0.8,1.1908170030728487,0.5714285714285714,0.06666666666666667,1.0029598528397166,0.15794011611376563,,0.6666666666666666,1.0,
body[t-3]<=0.3 & upper[t-3]>=0.2 & chg[t-1]>=0.5 & close<prev_low,strict,20,True,12.644306981693166,0.00957168896086354,298,12.0,0.006382704463805155,0.9,1.3372636306988062,0.5247311827956989,0.05,1.8627485126329486,0.03124882850170409,0.8,1.0,0.8333333333333334,17,True,17.0,0.16525854676782453,273.0,15.0,-0.0005785679508965706,0.47058823529411764,1.0664206262697955,0.5333333333333333,0.058823529411764705,0.9730728561492684,0.16525854676782453,0.5,0.5714285714285714,0.3333333333333333,
lower[t-2]>=0.2 & rngrank[t-3]>=0.5 & gap[t-1]<=-0.2 & close<prev_low,open,15,True,4.6929215293843765,0.0012560341010557227,442,27.0,0.00496137224934128,0.9333333333333333,1.5702566099674948,0.5952380952380952,0.06666666666666667,1.6902611181276572,0.045489005108716306,,0.8888888888888888,1.0,15,True,6.693621815387011,0.07840821509078655,541.0,33.0,0.000931529294574432,0.5333333333333333,1.4720252313522546,0.5531914893617021,0.06666666666666667,0.9458131329484784,0.17212195296049349,,0.4444444444444444,0.6666666666666666,
rngrank[t-1]>=0.5 & rngrank[t-1]<=0.8 & gap[t-2]>=0.2 & close<prev_low,open,15,True,6.5455483528665575,7.491393200210733e-05,453,27.0,0.00424201180540159,0.9333333333333333,1.6735979550174795,0.5925925925925926,0.2,2.504504357542771,0.006131154738806272,,0.8888888888888888,1.0,15,True,4.600213154614438,0.04445396080607859,554.0,36.0,0.0026263344940998484,0.6,1.2712102244884118,0.5333333333333333,0.13333333333333333,0.942096400491174,0.1730716436037249,,0.6666666666666666,0.5,
opnpos[t-1]>=0.3 & rngrank[t-1]>=0.8 & gap[t-3]>=0.2,open,16,True,4.827706377997899,0.00718780185405778,909,58.0,0.0032656022399793704,0.9375,1.5245314461995219,0.5852182223638102,0.0625,1.3445452165154108,0.08938607252406727,0.0,1.0,1.0,15,True,3.9903924891644005,0.03426868376221129,945.0,64.0,0.0022764482936884958,0.8,1.667193322473303,0.5531914893617021,0.0,0.9394662417963362,0.1737457083372832,,0.7777777777777778,0.8333333333333334,
